所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/行政综合/固定资产领用登记(#211),【新增】功能输入非法数据-条码重复,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000001""
4. ""领用人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】
13. 单击【新增】
14. ""商品名称""输入框输入""椅子""
15. ""条形编码""输入框输入""0000001""
16. ""领用人""输入框输入""王志""
17. ""数量""输入框输入""9999""
18. ""型号""输入框输入""""
19. ""备注""输入框输入""""
20. ""区域""下拉框选择""全部""
21.""部门""下拉框选择""全部""
22.""状态""下拉框选择""未使用""
23.""日期""时间元件选择""2020年3月20日""
24. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.
12. 
13. 
14. 
15.  
16. 
17. 
18. 
19.
20.
21.
22. 
23. 页面显示""新增失败，数据输入有误""
24. 数据库固定资产领用登记表中，不出现该条数据",,2,功能测试,系统测试阶段
/行政综合/固定资产领用登记(#211),【新增】功能输入非法数据-名称为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】","1. 单击【新增】
2. ""商品名称""输入框输入""""
3. ""条形编码""输入框输入""0000002""
4. ""领用人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库固定资产领用登记表中，不出现该条数据",,2,功能测试,系统测试阶段
/行政综合/固定资产领用登记(#211),【新增】功能输入非法数据-条码为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000003""
4. ""领用人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库固定资产领用登记表中，不出现该条数据",,2,功能测试,系统测试阶段
/行政综合/固定资产领用登记(#211),【新增】功能输入非法数据-单价为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000004""""
4. ""领用人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库固定资产领用登记表中，不出现该条数据",,2,功能测试,系统测试阶段
/行政综合/固定资产领用登记(#211),【新增】功能输入非法数据-数量为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000005""
4. ""领用人""输入框输入""王志""
5. ""数量""输入框输入""""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库固定资产领用登记表中，不出现该条数据",,2,功能测试,系统测试阶段
/行政综合/固定资产领用登记(#211),【新增】功能输入正确数据-非必填项-型号,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000006""
4. ""领用人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""A型号""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增成功""
12. 数据库固定资产领用登记表中，出现该条数据",,1,功能测试,系统测试阶段
/行政综合/固定资产领用登记(#211),【新增】功能输入正确数据-非必填项-备注,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000007""
4. ""领用人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""已领取""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增成功""
12. 数据库固定资产领用登记表中，出现该条数据",,1,功能测试,系统测试阶段
/行政综合/固定资产领用登记(#211),翻页功能,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产领用登记】",1. 单击【下一页】,1. 每页10条记录，可以翻页显示,,3,功能测试,系统测试阶段
,,,,,,,,
/行政综合/固定资产归还(#212),【区域】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】",1. 单击【区域】下拉框,1. 显示"全部",,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【部门】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】",1. 单击【部门】下拉框,1. 显示"全部",,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【类型】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】",1. 单击【状态】下拉框,1. 显示"员工"、"学生",,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""归还固定资产名称""查询正确输入","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""归还固定资产名称""输入框输入""椅子""
2. 单击""归还固定资产名称""输入框右边【查询】按钮",1. 只显示"归还固定资产名称"为"椅子"的数据,,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""归还固定资产名称""查询非法输入含空格","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""归还固定资产名称""输入框输入""椅子 ""
2. 单击""归还固定资产名称""输入框右边【查询】按钮",1. 不显示任何数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""归还固定资产名称""查询非法输入含特殊符号","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""归还固定资产名称""输入框输入""椅子；凳子""
2. 单击""归还固定资产名称""输入框右边【查询】按钮",1. 不显示任何数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""归还固定资产名称""查询非法输入同时输入两组","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""归还固定资产名称""输入框输入""水杯""
2. 单击""归还固定资产名称""输入框右边【查询】按钮",1. 不显示任何数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""归还固定资产名称""查询非法输入同时输入名称与编码","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""扫码查询""输入框输入""0000001""
2. ""归还固定资产名称""输入框输入""椅子""
3. 单击""归还固定资产名称""输入框右边【查询】按钮",1. 只显示"归还固定资产名称"为"椅子"的数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""扫码查询""查询正确输入","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""扫码查询""输入框输入""0000001""
2. 单击""扫码查询""输入框右边【查询】按钮",1. 只显示"条码"为"0000001"的数据,,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""扫码查询""查询非法输入含空格","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""扫码查询""输入框输入""0000011""
2. 单击""扫码查询""输入框右边【查询】按钮",1. 不显示任何数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""扫码查询""查询非法输入含特殊符号","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""扫码查询""输入框输入""0000001 ""
2. 单击""扫码查询""输入框右边【查询】按钮",1. 不显示任何数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""扫码查询""查询非法输入同时输入两组","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""扫码查询""输入框输入""0000001；0000002""
2. 单击""扫码查询""输入框右边【查询】按钮",1. 不显示任何数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),"""扫码查询""查询非法输入同时输入名称与编码","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. ""扫码查询""输入框输入""0000001""
2. ""归还固定资产名称""输入框输入""椅子""
3. 单击""扫码查询""输入框右边【查询】按钮",1. 只显示"条码"为"0000001"的数据,,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【类型】可使用显示-员工,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【类型】选取框
2. 单击【状态】选取框，选取""员工""",1. 只显示"状态"为"员工"的数据,,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【类型】可使用显示-学生,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【类型】选取框
2. 单击【状态】选取框，选取""学生""",1. 只显示"状态"为"学生"的数据,,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能页面元素,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】",1. 单击【新增】,1. 与SRS原型图一致，包含固定资产名称、条码、领用人、数量、备注五个输入域和区域、部门、类型三个下拉选择框以及采购时间元件,,1,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入正确数据,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000001""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增成功""
12. 数据库归还固定资产管理表中，出现该条数据",,1,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入非法数据-条码超长,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""00000011""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库归还固定资产管理表中，不出现该条数据",,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入非法数据-条码重复,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000001""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】
13. 单击【新增】
14. ""商品名称""输入框输入""椅子""
15. ""条形编码""输入框输入""0000001""
16. ""归还人""输入框输入""王志""
17. ""数量""输入框输入""9999""
18. ""型号""输入框输入""""
19. ""备注""输入框输入""""
20. ""区域""下拉框选择""全部""
21.""部门""下拉框选择""全部""
22.""状态""下拉框选择""未使用""
23.""日期""时间元件选择""2020年3月20日""
24. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.
12. 
13. 
14. 
15.  
16. 
17. 
18. 
19.
20.
21.
22. 
23. 页面显示""新增失败，数据输入有误""
24. 数据库归还固定资产管理表中，不出现该条数据",,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入非法数据-名称为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""""
3. ""条形编码""输入框输入""0000002""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库归还固定资产管理表中，不出现该条数据",,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入非法数据-条码为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000003""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库归还固定资产管理表中，不出现该条数据",,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入非法数据-单价为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000004""""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库归还固定资产管理表中，不出现该条数据",,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入非法数据-数量为空,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000005""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增失败，数据输入有误""
12. 数据库归还固定资产管理表中，不出现该条数据",,3,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入正确数据-非必填项-型号,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000006""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""A型号""
7. ""备注""输入框输入""""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增成功""
12. 数据库归还固定资产管理表中，出现该条数据",,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),【新增】功能输入正确数据-非必填项-备注,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】","1. 单击【新增】
2. ""商品名称""输入框输入""椅子""
3. ""条形编码""输入框输入""0000007""
4. ""归还人""输入框输入""王志""
5. ""数量""输入框输入""9999""
6. ""型号""输入框输入""""
7. ""备注""输入框输入""已领取""
8. ""区域""下拉框选择""全部""
9.""部门""下拉框选择""全部""
10.""状态""下拉框选择""未使用""
11.""日期""时间元件选择""2020年3月20日""
12. 单击【确定】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.
10.
11.页面显示""新增成功""
12. 数据库归还固定资产管理表中，出现该条数据",,2,功能测试,系统测试阶段
/行政综合/固定资产归还(#212),翻页功能,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产归还】",1. 单击【下一页】,1. 每页10条记录，可以翻页显示,,3,功能测试,系统测试阶段
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
